Name,Grade,Action,Industry,Country,Ownership
John Wood Group,Withdrawl,withdraw from Russia,Industrials,United Kingdom,
Johnson Matthey,Withdrawl,leave Russia and end all business there,Materials,United Kingdom,
Jotun,Withdrawl,Suspend business in Russia,Materials,Norway,
JYSK,Withdrawl,temporarily close Russian stores,Consumer Discretionary,Denmark,
Kalnapilis-Taurus,Withdrawl,termination of export ties and production in Russian Market,Consumer Staples,Lithuania,
Kamstrup,Withdrawl,Completely exit Russia,Utilities,Denmark,
Kearney,Withdrawl,officially withdrawn from Russia,Industrials,United States,
Kelly,Withdrawl,leave Russia & transition operations,Industrials,United States,
Kemira,Withdrawl,exit Russia completely,Consumer Discretionary,Finland,
Kennametal,Withdrawl,Completely exit Russia,Industrials,United States,
Kennedys,Withdrawl,Fully exit Russia,Industrials,United States,
Kiilto,Withdrawl,fully exited from Russia,Materials,Finland,
Kingspan,Withdrawl,exit Russia,Industrials,Ireland,
Kinross Gold,Withdrawl,complete exit from Russia by selling Russian operations,Materials,Canada,
KION Group,Withdrawl,Fully exit Russia after selling its operations,Industrials,Germany,
KLP,Withdrawl,exit all investment holdings in Russia,Financials,Norway,
Knorr-Bremse,Withdrawl,will not deliver any more products or systems for Russian locomotives; end JVs,Industrials,Germany,
Koch Industries,Withdrawl,sell Russian business to a local enterprise,Industrials,United States,
Kofax,Withdrawl,curtail all sales of software and close sites in Russia,Information Technology,United States,
Koskisen,Withdrawl,Fully exit Russia after selling its operations,Industrials,Finland,
KPMG,Withdrawl,leaving Russia completely,Industrials,United States,
Krispy Kreme,Withdrawl,winding down business in Russia,Consumer Discretionary,United States,
L'Occitane,Withdrawl,exit Russian operations,Consumer Discretionary,France,
Lamb Weston,Withdrawl,exit Russian market,Consumer Staples,United States,
Latham & Watkins,Withdrawl,wind down Russian presence,Industrials,United States,
Lear Corporation,Withdrawl,fully exit Russia,Consumer Discretionary,United States,
Legrand,Withdrawl,Left Russia,Industrials,France,
Lifan,Withdrawl,Fully exit Russia,Consumer Discretionary,China,
Lincoln Electric,Withdrawl,ceased all operations,Industrials,United States,
Lindab,Withdrawl,Fully exit Russia after selling its operations,Industrials,Sweden,
Lindstrom Group,Withdrawl,Withdrew from Russia,Consumer Discretionary,Finland,
Lindt-Sprungli,Withdrawl,suspend operations in Russia,Consumer Staples,Switzerland,
Linklaters,Withdrawl,"end operations in Russia, with entities connected to the Russian state; local partners and counsel form own firm",Industrials,United Kingdom,
Lloyd's Register,Withdrawl,withdraw services to Russia,Industrials,United Kingdom,
Logitech,Withdrawl,suspend shipments to Russia,Information Technology,Switzerland,
London Stock Exchange Group,Withdrawl,curtail Russian access to capital markets,Financials,United Kingdom,
LPP Group,Withdrawl,left Russia,Consumer Discretionary,Poland,
Lufthansa,Withdrawl,suspended flights and ended Russian aircraft maintenance,Industrials,Germany,
Luxoft,Withdrawl,exit Russian market,Information Technology,Switzerland,
LVMH,Withdrawl,end all operations in Russia,Consumer Discretionary,France,
LyondellBasell,Withdrawl,end all business,Materials,Netherlands,
MAN,Withdrawl,"end delivery, supply of trucks, and sales to Russia",Industrials,Germany,
Mannheimer Swartling,Withdrawl,end all operations,Industrials,Sweden,
Mantsinen,Withdrawl,Fully exit Russia after selling its operations,Industrials,Finland,
Marsh McLennan,Withdrawl,exit operations in Russia,Financials,United States,
Marugame,Withdrawl,Fully exit Russia and end all franchises operating in Russia,Consumer Staples,Japan,
Maxima,Withdrawl,Fully remove all Russian products and end Russian business,Consumer Discretionary,Lithuania,
Mayr-Melnhof,Withdrawl,Fully exit Russia after selling its operations,Materials,United Kingdom,
McCain Foods,Withdrawl,end operations in Russia,Consumer Staples,Canada,
McDonald's,Withdrawl,leave the Russian market & sell Russian business,Consumer Discretionary,United States,
McKinsey,Withdrawl,exit Russian market completely,Industrials,United States,
Mercedes-Benz,Withdrawl,Stopped manufacturing and exporting and will sell shares in subsidies,Consumer Discretionary,Germany,
MessageBird,Withdrawl,"shut down API access, block SMS and voice traffic to Russian carriers",Information Technology,Netherlands,
Mondi,Withdrawl,sell Russian assets,Materials,United Kingdom,
Monroe Energy,Withdrawl,stop imports of Russian crude oil,Energy,United States,
Moog Inc.,Withdrawl,exit Russian operations,Industrials,United States,
Moose Toys,Withdrawl,Ended all shipments to Russia,Consumer Discretionary,Australia,
Morgan Advanced Materials,Withdrawl,cease all trading with Russia.,Industrials,United Kingdom,
Morgan Lewis,Withdrawl,close Russian offices,Industrials,United States,
Morrisons,Withdrawl,remove products from Russia,Consumer Staples,United Kingdom,
MSCI,Withdrawl,curtail Russian access to capital markets,Financials,United States,
MSU S.A.,Withdrawl,ceased all business activities in Russia,Consumer Discretionary,Poland,
Nasdaq,Withdrawl,curtail Russian access to capital markets,Financials,United States,
Naspers,Withdrawl,Ended Operations. Sold Avito.,Consumer Discretionary,South Africa,
NCAB Group AB,Withdrawl,sold assets and ceased operations in Russia,Industrials,Sweden,
Nemiroff,Withdrawl,Revoke all licenses related to Russia and end all business there,Consumer Staples,Ukraine,
Netflix,Withdrawl,suspend service in Russia,Communication Services,United States,
Netscout,Withdrawl,"pause all sales, support, and services in Russia",Information Technology,United States,
Next,Withdrawl,Fully wind down Russian business,Consumer Discretionary,United Kingdom,
Nike,Withdrawl,exit Russia,Consumer Discretionary,United States,
Nissan,Withdrawl,Exit from Russian Market,Consumer Discretionary,Japan,
Nokia,Withdrawl,pulling out of Russia completely,Information Technology,Finland,
Nokian Tyres,Withdrawl,meaningfully reduce production in Russia,Consumer Discretionary,Finland,
Norton Rose Fulbright,Withdrawl,exit from Russia,Industrials,United Kingdom,
Norwegian Cruise Lines,Withdrawl,discontinue Russian itineraries,Consumer Discretionary,United States,
NTT Data,Withdrawl,exit Russia,Information Technology,Japan,
OBI,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,Germany,
Oceania Cruises,Withdrawl,discontinue Russian itineraries,Consumer Discretionary,United States,
Oerlikon,Withdrawl,sell Russian operations,Materials,Switzerland,
Olam Group,Withdrawl,divest Russian operations,Consumer Staples,Singapore,
Omnicom Media Group,Withdrawl,exit Russian operations,Communication Services,United States,
Omron,Withdrawl,fully wind down Russian business,Information Technology,Japan,
OneWeb,Withdrawl,suspend use of Russian airspace,Communication Services,United States,
Orica,Withdrawl,Fully exit Russia after selling its operations,Industrials,Australia,
Orkla,Withdrawl,exit Russian operations,Consumer Staples,Norway,
Orlen Lietuva,Withdrawl,stopped Russian oil imports,Energy,Poland,
Orsted,Withdrawl,end all gas purchases from Russia,Utilities,Denmark,
Otis Worldwide,Withdrawl,fully exit Russia through divesting business,Industrials,United States,
Owens Corning,Withdrawl,expedite exit from Russia,Industrials,United States,
Pandora,Withdrawl,suspend all business with Russia and Belarus,Consumer Discretionary,Denmark,
Parker Hannifin,Withdrawl,closed our office and warehouse facility in Moscow and no longer do business in this country,Industrials,United States,
Paul Smith,Withdrawl,Leaving Market,Consumer Discretionary,United Kingdom,
Paulig,Withdrawl,withdraw from Russia,Consumer Staples,Finland,
Paysera,Withdrawl,Close accounts of Russians and halt transfers to and from Russia,Financials,Lithuania,
Pensioenfonds Detailhandel,Withdrawl,sell off all Russian investments,Financials,Netherlands,
Pentair,Withdrawl,exiting its business in Russia,Industrials,United States,
Petro,Withdrawl,Fully exit Russia after selling its operations,Energy,Austria,
PFZW,Withdrawl,divest from all Russian assets,Financials,Netherlands,
PGL Esports,Withdrawl,exclusion of esports teams and individuals with connections to the Russian government from upcoming competition,Communication Services,United States,
PHX,Withdrawl,Fully exit Russia after selling its operations,Energy,United States,
Pixabay,Withdrawl,block Russian access,Consumer Discretionary,Germany,
PKO BP,Withdrawl,suspends transactions with Russian banks transactions in Russian ruble suspended,Financials,Poland,
Playrix,Withdrawl,Fully end operations in Russia,Consumer Discretionary,Ireland,
Playtika,Withdrawl,end Russian operations,Information Technology,Israel,
PME pensioenfonds,Withdrawl,sell off all Russian investments,Financials,Netherlands,
Polskie Górnictwo Naftowe i Gazownictwo SA,Withdrawl,stopped gaz imports,Energy,Poland,
Ponsse PLC,Withdrawl,divest Russian operations,Industrials,Finland,
Postnord,Withdrawl,reject all Russian items,Utilities,Norway,
Primo Water,Withdrawl,Withdrew from Russia,Consumer Staples,United States,
Princess Cruises,Withdrawl,reject bookings from Russia,Consumer Discretionary,United States,
Prio,Withdrawl,ceased purchase of any products from Russian or directly related companies,Energy,Portugal,
Publicis Groupe,Withdrawl,cede ownership to local affiliates,Communication Services,France,
Pure Storage,Withdrawl,fully wind down Russian business,Information Technology,United States,
PwC,Withdrawl,leaving Russia completely,Industrials,United States,
PZU SA,Withdrawl,reduced position in Russian bonds to zero,Financials,Poland,
Qantas Airlines,Withdrawl,No longer flies over Russian territory,Industrials,Australia,
R&A,Withdrawl,ban on all Russian competition,Industrials,United States,
Raisio,Withdrawl,Fully exit Russia after selling its operations,Consumer Staples,United States,
Rational,Withdrawl,Closed Russian Business,Consumer Discretionary,Germany,
Red Hat,Withdrawl,discontinue sales and services in Russia & terminate partnerships,Information Technology,United States,
Reface,Withdrawl,Removed App  and updates of app in Russia,Information Technology,Ukraine,
Refinitiv,Withdrawl,end Russian access,Financials,United Kingdom,
Regent Seven Seas Cruises,Withdrawl,discontinue Russian itineraries,Consumer Discretionary,United States,
Rehau,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,Switzerland,
Renault,Withdrawl,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production,Consumer Discretionary,France,
Repsol,Withdrawl,Withdrew from Russia,Energy,Spain,
Resbud,Withdrawl,Withdrew from Russia,Industrials,Estonia,
Rewe,Withdrawl,remove products from Russia from shelves,Consumer Discretionary,Germany,
Rimi,Withdrawl,remove products from Russia from shelves,Consumer Discretionary,Latvia,
Rio Tinto,Withdrawl,Terminated all commercial relationships with Russia,Materials,Australia,
Rocket Lawyer,Withdrawl,suspend Russian and Belarusian access to the platform,Information Technology,United States,
Roku,Withdrawl,remove Kremlin-linked propaganda and ads,Communication Services,United States,
Roland Berger,Withdrawl,end any activity for Russia,Industrials,Germany,
Royal London,Withdrawl,fully divest Russian assets,Financials,United Kingdom,
Royal Swinkels Family Brewers,Withdrawl,Terminated licence contract with MBC,Consumer Staples,Netherlands,
RWS,Withdrawl,Fully wind down Russian business,Industrials,United Kingdom,
S Group (Suomen Osuuskauppojen Keskuskunta),Withdrawl,close all operations,Consumer Staples,Finland,
S&P 500 [S&P Dow Jones Indices],Withdrawl,curtail Russian access to capital markets,Financials,United States,
Salesforce,Withdrawl,exit business relationships in Russia,Industrials,United States,
Sarantis Group,Withdrawl,Permanent withdrawal from Russian market,Consumer Staples,Greece,
Savills,Withdrawl,end partnerships in Russia,Real Estate,United Kingdom,
Schneider Electric,Withdrawl,sell Russian assets to local management and exit completely,Industrials,France,
Senior PLC,Withdrawl,cease servicing Russian aircraft,Industrials,United Kingdom,
Shell,Withdrawl,total withdrawal from virtually all Russia-related businesses,Energy,United Kingdom,
Sidley Austin,Withdrawl,end all Russian relationships,Industrials,United States,
Siemens,Withdrawl,exit Russian market,Industrials,Germany,
SKF,Withdrawl,end sales and production in Russia,Industrials,Sweden,
Slack,Withdrawl,exit Russian market completely,Information Technology,United States,
SMAY,Withdrawl,end cooperation with Russia,Industrials,Poland,
Smurfit Kappa,Withdrawl,exit Russian market,Materials,Ireland,
Societe Generale,Withdrawl,cessation of all activities in Russia,Financials,France,
Sodexo,Withdrawl,ceded control of its operations in Russia,Industrials,France,
SoftwareOne,Withdrawl,Fully exit Russia after selling its operations,Information Technology,Switzerland,
Sonos,Withdrawl,ceased all sales to this market at the onset of the war and blocked Russian state radio,Consumer Discretionary,United States,
Spin Master,Withdrawl,fully exit Russia,Consumer Discretionary,Canada,
Squire Patton Boggs,Withdrawl,leave Russia,Industrials,United States,
Stanley Black & Decker,Withdrawl,shut down Russian business,Industrials,United States,
Starbucks,Withdrawl,exit and no longer have a brand presence in Russia,Consumer Discretionary,United States,
State Street,Withdrawl,curtail Russian access to capital markets,Financials,United States,
Stora Enso,Withdrawl,divest packaging plants,Materials,Finland,
Storebrand,Withdrawl,divest all Russian holdings,Financials,Norway,
Strabag,Withdrawl,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska,Industrials,Austria,
Strava,Withdrawl,disable access in Russia,Information Technology,United States,
Sulzer,Withdrawl,exit Russian market,Industrials,Switzerland,
Svenska Handelsbanken,Withdrawl,divest from all Russian investments,Financials,Sweden,
Sylvamo,Withdrawl,Sold operations in Russia,Materials,United States,
Systembolaget,Withdrawl,remove all Russian alcohol from stores,Consumer Discretionary,Sweden,
Sæplast,Withdrawl,Stopped all operations in Russia,Materials,Iceland,
Tata Steel,Withdrawl,Replaced all Russian raw materials for operations; no presence in Russia,Materials,India,
Tchibo,Withdrawl,sell Russian subsidiary,Consumer Staples,Germany,
TDZ Turn,Withdrawl,fully stopped trade with Russia,Industrials,Czech Republic,
TeamViewer,Withdrawl,withdraw from Russia/Belarus,Information Technology,Germany,
Technip Energies,Withdrawl,No new business. Signed exit agreement on Arctic LNG 2,Energy,France,
Teknos,Withdrawl,Fully exit Russia after selling its operations,Industrials,Finland,
Teknotherm Marine HVAC sp. z o.o.,Withdrawl,complete withdrawal from Russia,Industrials,Poland,
Teleperformance,Withdrawl,Withdrew from Russia,Communication Services,France,
Teradata,Withdrawl,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.,Information Technology,United States,
Tetra Pak,Withdrawl,completely left Russia,Industrials,Sweden,
Tietoevry,Withdrawl,conclude total exit from Russia,Information Technology,Finland,
TJ Maxx,Withdrawl,divest Familia subsidiary,Consumer Discretionary,United States,
Tom Ford,Withdrawl,We have ceased all marketing and advertising,Consumer Discretionary,United States,
Topsoe,Withdrawl,Fully wind down all Russian business,Energy,Denmark,
Toyota,Withdrawl,stop production at its St. Petersburg plant and stop imports of vehicles,Consumer Discretionary,Japan,
Trane Technologies,Withdrawl,suspend all business activities indefinitely & exit Russia,Industrials,Ireland,
TransferGo,Withdrawl,End all remittances to Russia,Financials,United Kingdom,
Trimble,Withdrawl,Discontinue business operations in Russia,Information Technology,United States,
TripAdvisor,Withdrawl,remove Kremlin-linked propaganda and ads,Communication Services,United States,
Triumph Motorcycles,Withdrawl,Discontinued commercial activity in Russia,Consumer Discretionary,United Kingdom,
TUI,Withdrawl,end brand-sharing agreement; had already exited,Consumer Discretionary,Germany,
Tunnock's,Withdrawl,discontinue supplies to Russia,Consumer Staples,United Kingdom,
Uber,Withdrawl,divest from partnership with Yandex,Information Technology,United States,
UEFA,Withdrawl,ban Russian athletes from competing,NGO,Switzerland,
Umbro,Withdrawl,withdrawal from the Russian market,Consumer Discretionary,United Kingdom,
United Airlines,Withdrawl,no flying over Russian airspace,Industrials,United States,
United Internet Group,Withdrawl,suspend all Russian contracts,Information Technology,Germany,
Universal,Withdrawl,closing operations in Russia,Communication Services,United States,
Uponor,Withdrawl,Completes Exit,Industrials,Finland,
Vaillant Group,Withdrawl,Terminated business activities in Russia,Industrials,Germany,
Valio,Withdrawl,sell business and Viola brand to Velcom,Consumer Staples,Finland,
Valmet,Withdrawl,exit from Russia,Industrials,Finland,
Van Oord,Withdrawl,Full withdrawal from Russia,Industrials,Netherlands,
VanEck,Withdrawl,liquidate Russian ETFs,Financials,United States,
Vanguard,Withdrawl,suspend operations in Russia,Financials,United States,
Velux,Withdrawl,permanently close operations in Russia and Belarus,Consumer Discretionary,Denmark,
Veon,Withdrawl,Fully divested from Russia and sale of its Russian business approved,Communication Services,Netherlands,
Vestas,Withdrawl,Fully Withdrawn from Russia,Energy,Denmark,
Vianor,Withdrawl,terminate contract with Russian subsidiary,Consumer Discretionary,Finland,
Vičiūnai,Withdrawl,selling Russian operations and exiting Russia,Consumer Staples,Lithuania,
Vinmonopolet,Withdrawl,"stop sales of all Russian wine, spirits and strong beers in Norway",Consumer Staples,Norway,
Vitol,Withdrawl,stop buying Russian oil by the end of 2022,Energy,Switzerland,
Vodafone,Withdrawl,suspend partner agreement with MTS,Information Technology,United Kingdom,
Volaris Group,Withdrawl,discontinue sales and support to Russia,Information Technology,Canada,
Volfas Engelman,Withdrawl,suspend investment and withdraw from Russian market,Consumer Staples,Lithuania,
VTG,Withdrawl,Fully exit Russia after selling its operations,Industrials,Germany,
Waitrose,Withdrawl,remove products from Russia,Consumer Staples,United Kingdom,
Walker's Shortbread,Withdrawl,cancel all future orders to Russia,Consumer Staples,United Kingdom,
Wallenius Wilhelmsen,Withdrawl,End all operations in Russia,Consumer Discretionary,Norway,
Wargaming,Withdrawl,close operations; transfer of some business,Consumer Discretionary,Belarus,
Wartsila,Withdrawl,Ended Activity,Industrials,Finland,
Wear Medicine,Withdrawl,terminate cooperation with Russian partners,Consumer Discretionary,Poland,
Weir Group,Withdrawl,wind down Russian business in 2022,Industrials,United Kingdom,
WePlay,Withdrawl,terminate all Russian operations,Consumer Discretionary,United States,
WeWork,Withdrawl,planning divestment of Russian operations,Real Estate,United States,
Wex Inc.,Withdrawl,ending relationship with Lukoil and subsidiaries,Information Technology,United States,
White & Case,Withdrawl,wind down Russian operations,Industrials,United States,
Wienerberger,Withdrawl,Fully exit Russia after selling its operations,Industrials,Austria,
WIKA,Withdrawl,Suspended business in Russia,Industrials,Germany,
Willis Towers Watson,Withdrawl,Fully exit Russia and transfer ownership to local management,Financials,United Kingdom,
Windstar Cruises,Withdrawl,Cancel all Russian cruises,Consumer Discretionary,United States,
Winston & Strawn,Withdrawl,Close Russian office,Industrials,United States,
Women's Tennis Association,Withdrawl,Suspend Russian partnerships,NGO,United States,
World Athletics Council,Withdrawl,Ban on all Russian competition,NGO,United States,
World Boxing Association,Withdrawl,Ban on all Russian competition,NGO,Panama,
World Boxing Organization,Withdrawl,Ban on all Russian competition,NGO,United States,
World Rowing Federation,Withdrawl,Ban on all Russian competition,NGO,United States,
World Rugby Union,Withdrawl,Ban on all Russian competition,NGO,Ireland,
WPP PLC,Withdrawl,leave Russia,Communication Services,United Kingdom,
YIT,Withdrawl,Exits Russia projects,Industrials,Finland,
Zepz,Withdrawl,Disable all Russian transactions,Financials,United Kingdom,
ZET Chemie,Withdrawl,still operating in Russia,Materials,Germany,
Zott,Withdrawl,discontinue business in preparation for liquidation,Consumer Staples,Germany,
Zurich Insurance Group,Withdrawl,sell Russian business to local team and exit market,Financials,Switzerland,
